app_name,datetime,value
de_corona_warn_app,2020-11-05,18
de_corona_warn_app,2020-11-06,14
de_corona_warn_app,2020-11-07,13
de_corona_warn_app,2020-11-08,12
de_corona_warn_app,2020-11-09,17
de_corona_warn_app,2020-11-10,4
de_corona_warn_app,2020-11-11,10
de_corona_warn_app,2020-11-12,11
de_corona_warn_app,2020-11-13,17
de_corona_warn_app,2020-11-14,17
de_corona_warn_app,2020-11-15,22
de_corona_warn_app,2020-11-16,21
de_corona_warn_app,2020-11-17,19
de_corona_warn_app,2020-11-18,12
de_corona_warn_app,2020-11-19,15
de_corona_warn_app,2020-11-20,12
de_corona_warn_app,2020-11-21,4
de_corona_warn_app,2020-11-22,6
de_corona_warn_app,2020-11-23,5
de_corona_warn_app,2020-11-24,13
de_corona_warn_app,2020-11-25,22
de_corona_warn_app,2020-11-26,11
de_corona_warn_app,2020-11-27,1
de_corona_warn_app,2020-11-28,18
